miRNA	value
hsa-miR-6768-5p	32.65201
hsa-miR-6883-5p	37.9984
hsa-miR-187-5p	20.28554
hsa-miR-1306-3p	23.5399
hsa-miR-6751-5p	32.709
hsa-miR-575	27.6467
hsa-miR-1273f	8.16111
hsa-miR-6086	15.32605
hsa-miR-206	41.7077
hsa-miR-4632-5p	52.9876
hsa-miR-3937	33.6393
hsa-miR-1343-5p	39.303
hsa-miR-483-3p	21.05273
hsa-miR-3162-3p	12.80609
hsa-miR-6858-5p	29.5568
hsa-miR-939-5p	74.5739
hsa-miR-4313	6.27573
hsa-miR-3194-5p	25.7822
hsa-miR-1471	16.60666
hsa-miR-3188	39.9297
hsa-miR-1234-3p	12.22807
hsa-miR-1224-5p	28.2005
hsa-miR-6069	16.67298
hsa-miR-6856-5p	30.2822
hsa-miR-130a-3p	23.60121
hsa-miR-5196-5p	19.26265
hsa-miR-7154-5p	26.6593
hsa-miR-3907	25.8011
hsa-miR-652-5p	9.51544
hsa-miR-4649-3p	11.59828
hsa-miR-4433b-3p	67.44005
hsa-miR-92a-3p	747.081
hsa-miR-6860	27.8963
hsa-miR-6515-3p	14.99244
hsa-miR-6737-3p	6.21797
hsa-miR-6819-5p	13.80523
hsa-miR-6799-5p	27.133
hsa-miR-4651	33.237
hsa-miR-6819-3p	10.36949
hsa-miR-3945	20.8208
hsa-miR-4785	6.84633
hsa-miR-127-3p	20.895
hsa-miR-1290	17.6724
hsa-miR-5001-5p	152.0423
hsa-miR-7111-3p	10.53624
hsa-miR-4787-3p	18.7759
hsa-miR-6794-3p	9.49308
hsa-miR-539-5p	21.43556
hsa-miR-2276-3p	27.5018
hsa-miR-34a-5p	20.35695
hsa-miR-6787-5p	21.833
hsa-miR-4429	18.6686
hsa-miR-3158-5p	8.51963
hsa-miR-1304-3p	6.14665
hsa-miR-4515	8.58577
hsa-miR-4419a	10.90925
hsa-miR-6796-5p	23.4851
hsa-miR-766-5p	12.13384
hsa-miR-107	41.36671
hsa-miR-371b-5p	73.4791
hsa-miR-6777-3p	8.30034
hsa-miR-6757-5p	16.3881
hsa-miR-1238-3p	11.76883
hsa-miR-20a-5p	55.7211
hsa-miR-572	120.95438
hsa-miR-6840-3p	28.07941
hsa-miR-324-3p	43.4734
hsa-miR-6508-5p	2.19971
hsa-miR-8071	27.5626
hsa-miR-198	24.57906
hsa-miR-6784-5p	19.735
hsa-miR-328-3p	14.12797
hsa-miR-4456	17.33146
hsa-miR-365a-3p	2.21014
hsa-miR-514b-5p	9.99721
hsa-miR-4721	34.5622
hsa-miR-191-3p	6.71509
hsa-miR-6759-3p	7.57668
hsa-miR-6779-5p	28.5016
hsa-miR-4646-5p	8.5292
hsa-miR-4483	14.06315
hsa-miR-6813-3p	8.79452
hsa-miR-425-3p	5.37518
hsa-miR-6732-5p	21.48637
hsa-miR-1236-5p	4.65567
hsa-miR-548q	13.10115
hsa-miR-3652	50.3365
hsa-miR-4436b-5p	11.34514
hsa-let-7f-1-3p	3.48781
hsa-miR-4290	15.14464
hsa-miR-4476	23.3624
hsa-miR-4725-5p	5.74688
hsa-miR-6763-3p	8.17872
hsa-miR-3689b-3p	18.39598
hsa-miR-33b-3p	4.84867
hsa-miR-6865-3p	1.96912
hsa-miR-6884-3p	7.59655
hsa-miR-6858-3p	5.67228
hsa-miR-15b-5p	43.99652
hsa-miR-6861-5p	15.07073
hsa-miR-4673	6.35498
hsa-miR-6760-3p	4.85999
hsa-miR-1237-3p	6.22435
hsa-miR-7114-5p	19.44989
hsa-let-7i-5p	67.3622
hsa-miR-1908-3p	16.96931
hsa-miR-4698	9.85187
hsa-miR-4322	21.2675
hsa-miR-5196-3p	5.63006
hsa-miR-4433a-5p	9.17177
hsa-miR-3620-3p	8.10823
hsa-miR-149-5p	1.96581
hsa-miR-4644	7.18085
hsa-miR-6861-3p	11.22111
hsa-let-7b-3p	5.35896
hsa-miR-197-3p	19.58238
hsa-miR-6875-5p	47.0776
hsa-miR-6847-5p	17.12857
hsa-miR-23a-3p	3.1929
hsa-miR-4747-5p	18.21475
hsa-miR-4711-3p	23.9463
hsa-miR-6765-3p	9.64807
hsa-miR-6824-3p	4.93283
hsa-miR-1539	4.25022
hsa-miR-6886-3p	17.09329
hsa-miR-6824-5p	8.05949
hsa-miR-4646-3p	9.05156
hsa-miR-4462	20.84958
hsa-miR-25-3p	71.13799
hsa-miR-4526	16.24714
hsa-miR-98-3p	3.06242
hsa-miR-4430	23.972
hsa-miR-6732-3p	12.32242
hsa-miR-659-3p	17.02385
hsa-miR-6795-3p	5.17561
hsa-miR-5007-5p	16.62232
hsa-miR-6780b-5p	23.0554
hsa-miR-6891-3p	10.80306
hsa-miR-382-5p	9.01711
hsa-miR-4701-5p	2.92185
hsa-miR-296-5p	14.52898
hsa-miR-601	14.17828
hsa-miR-6752-3p	3.59215
