miRNA	value
hsa-miR-6768-5p	5.70806
hsa-miR-6883-5p	6.1343
hsa-miR-187-5p	6.51319
hsa-miR-1306-3p	6.57531
hsa-miR-6751-5p	2.60324
hsa-miR-575	7.71801
hsa-miR-1273f	5.45177
hsa-miR-6086	7.94948
hsa-miR-206	4.75167
hsa-miR-4632-5p	6.60598
hsa-miR-3937	5.99076
hsa-miR-1343-5p	6.81846
hsa-miR-483-3p	4.68745
hsa-miR-3162-3p	4.93897
hsa-miR-6858-5p	2.5325
hsa-miR-939-5p	6.09941
hsa-miR-4313	3.70777
hsa-miR-3194-5p	5.15806
hsa-miR-1471	2.30537
hsa-miR-3188	5.88258
hsa-miR-1234-3p	4.77625
hsa-miR-1224-5p	5.07601
hsa-miR-6069	4.56968
hsa-miR-6856-5p	4.00842
hsa-miR-130a-3p	8.22831
hsa-miR-5196-5p	5.26918
hsa-miR-7154-5p	1.441691
hsa-miR-3907	1.885227
hsa-miR-652-5p	4.5868
hsa-miR-4649-3p	4.22754
hsa-miR-4433b-3p	6.57542
hsa-miR-92a-3p	9.50112
hsa-miR-6860	2.09839
hsa-miR-6515-3p	4.89936
hsa-miR-6737-3p	2.24334
hsa-miR-6819-5p	4.64798
hsa-miR-6799-5p	1.898073
hsa-miR-4651	4.67784
hsa-miR-6819-3p	4.68241
hsa-miR-3945	4.6265
hsa-miR-4785	2.49062
hsa-miR-127-3p	1.334249
hsa-miR-1290	1.4976383
hsa-miR-5001-5p	16.17005
hsa-miR-7111-3p	1.57383
hsa-miR-4787-3p	3.53214
hsa-miR-6794-3p	3.35562
hsa-miR-539-5p	1.17273
hsa-miR-2276-3p	3.4754
hsa-miR-34a-5p	1.777251
hsa-miR-6787-5p	0.945913
hsa-miR-4429	1.87747
hsa-miR-3158-5p	2.74876
hsa-miR-1304-3p	2.88138
hsa-miR-4515	3.2082
hsa-miR-4419a	3.81401
hsa-miR-6796-5p	0.997978
hsa-miR-766-5p	2.5049
hsa-miR-107	4.60035
hsa-miR-371b-5p	8.92884
hsa-miR-6777-3p	2.75919
hsa-miR-6757-5p	3.30165
hsa-miR-1238-3p	3.381315
hsa-miR-20a-5p	8.22087
hsa-miR-572	13.414
hsa-miR-6840-3p	1.12584
hsa-miR-324-3p	1.76749
hsa-miR-6508-5p	1.65319
hsa-miR-8071	3.38644
hsa-miR-198	4.6517
hsa-miR-6784-5p	3.367
hsa-miR-328-3p	1.564141
hsa-miR-4456	1.38795
hsa-miR-365a-3p	2.44135
hsa-miR-514b-5p	5.12892
hsa-miR-4721	2.98452
hsa-miR-191-3p	3.465292
hsa-miR-6759-3p	2.52592
hsa-miR-6779-5p	1.95807
hsa-miR-4646-5p	2.58547
hsa-miR-4483	1.61019
hsa-miR-6813-3p	2.42338
hsa-miR-425-3p	2.15948
hsa-miR-6732-5p	0.2592374
hsa-miR-1236-5p	3.53995
hsa-miR-548q	1.806893
hsa-miR-3652	2.25984
hsa-miR-4436b-5p	2.40743
hsa-let-7f-1-3p	1.818692
hsa-miR-4290	2.4266
hsa-miR-4476	3.59934
hsa-miR-4725-5p	2.34514
hsa-miR-6763-3p	1.68778
hsa-miR-3689b-3p	2.411008
hsa-miR-33b-3p	0.790947
hsa-miR-6865-3p	1.933891
hsa-miR-6884-3p	1.736647
hsa-miR-6858-3p	2.34647
hsa-miR-15b-5p	8.07689
hsa-miR-6861-5p	2.24776
hsa-miR-4673	1.93109
hsa-miR-6760-3p	1.343569
hsa-miR-1237-3p	1.944018
hsa-miR-7114-5p	2.114828
hsa-let-7i-5p	3.65678
hsa-miR-1908-3p	3.9458
hsa-miR-4698	2.42577
hsa-miR-4322	2.03532
hsa-miR-5196-3p	1.546334
hsa-miR-4433a-5p	2.41209
hsa-miR-3620-3p	1.370897
hsa-miR-149-5p	1.98545
hsa-miR-4644	0.516293
hsa-miR-6861-3p	2.00424
hsa-let-7b-3p	2.123358
hsa-miR-197-3p	3.07047
hsa-miR-6875-5p	2.07732
hsa-miR-6847-5p	2.18265
hsa-miR-23a-3p	7.48125
hsa-miR-4747-5p	1.114307
hsa-miR-4711-3p	1.139994
hsa-miR-6765-3p	1.55342
hsa-miR-6824-3p	1.666116
hsa-miR-1539	1.778822
hsa-miR-6886-3p	1.31312
hsa-miR-6824-5p	1.958567
hsa-miR-4646-3p	1.92527
hsa-miR-4462	1.0578301
hsa-miR-25-3p	4.76621
hsa-miR-4526	0.465004
hsa-miR-98-3p	1.910669
hsa-miR-4430	2.00503
hsa-miR-6732-3p	1.99463
hsa-miR-659-3p	1.65559
hsa-miR-6795-3p	1.963697
hsa-miR-5007-5p	0.82970662
hsa-miR-6780b-5p	1.629997
hsa-miR-6891-3p	1.7131
hsa-miR-382-5p	2.15799
hsa-miR-4701-5p	1.736363
hsa-miR-296-5p	2.46909
hsa-miR-601	1.376368
hsa-miR-6752-3p	1.965692
hsa-miR-6779-3p	1.845304
hsa-miR-3667-5p	4.00666
hsa-miR-6834-3p	1.744116
hsa-miR-5090	2.145364
hsa-miR-4731-3p	2.198308
hsa-miR-1182	4.5551
hsa-miR-4284	1.820449
hsa-miR-3679-3p	1.560071
hsa-miR-4717-3p	0.4798415
hsa-miR-6807-5p	1.65611
hsa-miR-15a-5p	3.27594
hsa-miR-6870-3p	1.716754
hsa-miR-6765-5p	1.83268
hsa-miR-4310	1.965813
hsa-miR-3689a-3p	1.411746
hsa-miR-8089	1.60074
hsa-miR-3675-3p	1.801349
hsa-miR-4472	2.60899
hsa-miR-498	2.101087
hsa-miR-4666b	1.883145
hsa-miR-6766-3p	3.58539
hsa-miR-6507-3p	1.739335
hsa-miR-6889-5p	1.872639
hsa-miR-625-3p	1.664926
hsa-miR-3131	2.42319
hsa-miR-3202	2.54544
hsa-miR-3074-3p	0.603712
hsa-miR-4486	1.225417
hsa-miR-3614-5p	2.160695
hsa-miR-4734	1.860287
hsa-miR-4750-5p	1.866064
hsa-miR-5093	0.245264
hsa-miR-4716-5p	3.33445
hsa-miR-550a-5p	1.943647
hsa-miR-6848-3p	1.60695
hsa-miR-4274	3.85267
hsa-miR-6889-3p	2.69441
hsa-miR-634	2.224249
hsa-miR-3613-3p	1.746514
hsa-miR-4497	1.36894386
hsa-miR-4484	1.70517
hsa-miR-6798-3p	1.946207
hsa-miR-4535	1.186089
hsa-miR-6851-3p	1.97754
hsa-miR-4312	1.546667
hsa-miR-3180-5p	1.709622
hsa-miR-23c	1.924138
hsa-miR-4749-3p	1.57326
hsa-miR-1226-5p	1.60457
hsa-miR-7113-5p	2.0192
hsa-miR-423-5p	1.811911
hsa-miR-337-3p	1.083961
hsa-miR-6132	1.888717
hsa-miR-2116-3p	1.89111
hsa-miR-4758-5p	2.020576
hsa-miR-1261	1.186459
hsa-miR-4690-5p	1.547911
hsa-miR-484	1.577701
hsa-miR-1181	1.576063
hsa-miR-1227-5p	10.36681
hsa-miR-623	2.31542
hsa-miR-7846-3p	2.36133
hsa-miR-6800-3p	1.67147
hsa-miR-6880-3p	3.20718
hsa-miR-24-3p	9.96322
hsa-miR-4664-3p	1.447316
hsa-miR-4314	1.376512
hsa-miR-6812-3p	1.589465
hsa-miR-7152-3p	1.57397
hsa-miR-3650	1.5501
hsa-miR-602	1.771532
hsa-miR-106b-5p	4.62138
hsa-miR-29b-1-5p	1.694309
hsa-let-7d-3p	0.973215
hsa-miR-122-5p	1.975742
hsa-miR-335-3p	0.834279
hsa-miR-135a-5p	1.390986
hsa-miR-4758-3p	1.168943
hsa-miR-5092	0.03894
hsa-miR-933	1.803591
hsa-miR-619-5p	0.999522
hsa-miR-345-3p	2.37194
hsa-miR-144-3p	4.86867
hsa-miR-645	0.3785537
hsa-miR-211-5p	1.239137
hsa-let-7a-5p	2.91699
hsa-miR-519e-3p	0.850266
hsa-miR-129-2-3p	1.329124
hsa-miR-4710	1.501418
hsa-miR-30c-1-3p	1.94534
hsa-miR-5571-5p	1.404588
hsa-miR-4695-3p	0.28712534
hsa-miR-6785-3p	2.01052
hsa-miR-563	1.466033
hsa-miR-6756-3p	1.255572
hsa-miR-142-3p	1.86648
hsa-miR-520e	1.89632
hsa-miR-4728-3p	1.478662
hsa-miR-6823-3p	1.143947
hsa-miR-576-5p	1.199128
hsa-miR-6746-5p	0.932819
hsa-miR-520d-3p	1.673403
hsa-miR-6790-5p	1.060954
hsa-miR-19a-3p	2.484468
hsa-miR-485-3p	0.794798
hsa-miR-196b-5p	1.383476
hsa-miR-7109-5p	1.88251
hsa-miR-885-5p	0.6364435
hsa-miR-4538	0.2659125
hsa-miR-769-3p	1.60842
hsa-miR-181d-5p	1.122491
hsa-miR-6731-3p	1.360045
hsa-miR-1299	0.515544
hsa-miR-27a-3p	4.88166
hsa-miR-376b-5p	0.764976
hsa-miR-3916	0.1687622
hsa-miR-4447	1.456774
hsa-miR-8060	1.670626
hsa-miR-6878-3p	0.667793
hsa-miR-6778-5p	1.873974
hsa-miR-520a-3p	1.128145
hsa-miR-6734-5p	1.630935
hsa-miR-615-3p	0.64858473
hsa-miR-515-3p	0.481864
hsa-miR-1252-3p	0.826312
hsa-miR-6743-3p	0.827136
hsa-miR-4762-3p	1.38693
hsa-miR-610	1.603487
hsa-miR-548ai	1.90076
hsa-miR-6751-3p	0.932588
hsa-miR-505-3p	0.77929
hsa-miR-16-2-3p	1.010466
hsa-miR-6716-3p	2.160356
hsa-miR-6820-5p	0.759389
hsa-miR-6894-3p	0.762598
hsa-miR-302c-3p	0.3348331
hsa-let-7g-5p	2.49622
hsa-miR-150-5p	2.03073
hsa-miR-129-1-3p	1.031894
hsa-miR-195-3p	1.863886
hsa-miR-3609	0.2869386
hsa-miR-5583-5p	0.6679513
hsa-miR-6738-5p	2.44389
hsa-miR-6730-3p	0.5377523
hsa-miR-449b-5p	0.528799
hsa-miR-3190-5p	1.13625
hsa-miR-520g-3p	0.55397
hsa-miR-7974	1.473865
hsa-miR-376a-2-5p	0.921477
hsa-miR-6757-3p	0.966274
hsa-miR-6741-5p	2.36088
hsa-miR-4707-3p	0.8761306
hsa-miR-4502	2.119104
hsa-miR-196a-5p	1.362352
hsa-miR-548am-5p	1.583907
hsa-miR-130b-3p	1.96248
hsa-miR-3151-3p	0.7338743
hsa-miR-4753-3p	0.764126
hsa-miR-4496	1.351656
hsa-miR-664a-3p	0.86516
hsa-miR-6809-5p	2.221826
hsa-miR-6754-5p	0.171608
hsa-let-7f-5p	2.57289
hsa-miR-6792-3p	1.203042
hsa-miR-548d-5p	0.900307
hsa-miR-3121-5p	0.906897
hsa-miR-135b-5p	1.190222
hsa-miR-30c-2-3p	1.056516
hsa-miR-3940-3p	0.1385036
hsa-miR-29c-5p	0.507498
hsa-miR-125a-3p	1.397933
hsa-miR-2053	0.925466
hsa-miR-6780b-3p	0.518517
hsa-miR-7114-3p	0.97947
hsa-miR-660-3p	1.46126
hsa-miR-6885-3p	0.620907
hsa-miR-548az-5p	0.887015
hsa-miR-6083	0.878696
hsa-miR-204-5p	0.96826
hsa-miR-1470	1.486326
hsa-miR-338-3p	0.90143
hsa-miR-4713-3p	1.151486
hsa-miR-3923	1.076904
hsa-miR-369-3p	0.599738
hsa-miR-3613-5p	1.164211
hsa-miR-5584-3p	0.1185333
hsa-miR-520f-3p	0.83401
hsa-miR-4441	1.319366
hsa-miR-4417	0.619789
hsa-miR-6780a-3p	0.597014
hsa-miR-6866-3p	0.4458019
hsa-miR-29a-3p	2.78547
hsa-miR-6855-3p	1.133303
hsa-miR-3184-3p	0.952209
hsa-miR-2113	-0.1821816
hsa-miR-5010-3p	0.947818
hsa-miR-887-3p	0.4639406
hsa-miR-613	0.6290824
hsa-miR-3150b-5p	1.112782
hsa-miR-3173-5p	0.436028
hsa-miR-4746-3p	0.808751
hsa-miR-5681b	0.559709
hsa-miR-4652-3p	2.335347
hsa-miR-6846-3p	0.2033738
hsa-miR-199a-3p	1.827661
hsa-miR-221-3p	0.803523
hsa-miR-7107-3p	0.891895
hsa-miR-548m	0.878853
hsa-miR-4763-5p	-0.091532
hsa-miR-376c-5p	0.891816
hsa-miR-186-5p	0.86335
hsa-miR-4655-5p	0.985749
hsa-miR-26b-3p	0.194339
hsa-miR-767-3p	0.777483
hsa-miR-376a-5p	0.610493
hsa-miR-4460	0.957096
hsa-miR-3646	0.862144
hsa-miR-4697-3p	0.635622
hsa-miR-301a-5p	0.642172
hsa-miR-6847-3p	1.083538
hsa-miR-432-5p	1.227436
hsa-miR-26a-2-3p	1.105203
hsa-miR-766-3p	0.779344
hsa-miR-4307	0.604639
hsa-miR-454-5p	0.857365
hsa-miR-6777-5p	0.966709
hsa-miR-424-5p	0.603266
hsa-miR-30d-5p	2.27643
hsa-miR-5003-3p	1.474171
hsa-miR-7156-5p	-0.1783996
hsa-miR-3617-3p	0.528177
hsa-miR-4695-5p	0.877932
hsa-miR-10a-5p	0.563782
hsa-miR-6784-3p	0.926906
hsa-miR-129-5p	0.343554
hsa-miR-6793-5p	1.601485
hsa-miR-302a-3p	0.856134
hsa-miR-4723-3p	0.761076
hsa-miR-520b	1.305973
hsa-miR-378a-3p	0.933348
hsa-miR-29c-3p	1.257164
hsa-miR-877-5p	0.9716799
hsa-miR-371a-3p	0.848436
hsa-miR-186-3p	1.308705
hsa-miR-199b-5p	0.801136
hsa-miR-3924	0.729495
hsa-miR-4688	1.263395
hsa-miR-30b-3p	1.164894
hsa-miR-556-3p	0.841048
hsa-miR-181b-5p	0.8488142
hsa-miR-3115	0.5940609
hsa-miR-5187-3p	0.0691247
hsa-miR-548bb-3p	0.126679
hsa-miR-6873-3p	0.532755
hsa-miR-340-3p	0.954234
hsa-miR-6775-3p	1.285959
hsa-miR-208a-5p	1.286064
hsa-miR-7-5p	0.904473
hsa-miR-29b-2-5p	0.1694482
hsa-miR-1227-3p	0.868321
hsa-miR-8087	1.667938
hsa-miR-6786-3p	2.39791
hsa-miR-548n	0.568964
hsa-miR-136-5p	1.186867
hsa-miR-4750-3p	0.6653052
hsa-miR-5088-5p	0.827576
hsa-miR-18b-3p	0.9253783
hsa-miR-548y	0.683773
hsa-miR-6730-5p	1.10032
hsa-miR-4756-3p	0.540089
hsa-miR-6735-3p	0.622886
hsa-miR-8064	1.377675
