miRNA	value
hsa-miR-6797-3p	5.74523
hsa-miR-6768-5p	5.66738
hsa-miR-6883-5p	5.66428
hsa-miR-187-5p	5.56279
hsa-miR-1306-3p	5.37864
hsa-miR-6751-5p	5.35001
hsa-miR-575	5.3364
hsa-miR-1273f	5.32938
hsa-miR-6086	5.26437
hsa-miR-206	5.24945
hsa-miR-4632-5p	5.18892
hsa-miR-3937	5.18335
hsa-miR-1343-5p	5.12984
hsa-miR-483-3p	5.09106
hsa-miR-3162-3p	5.0848
hsa-miR-6858-5p	5.04207
hsa-miR-939-5p	5.02308
hsa-miR-4313	4.93575
hsa-miR-3194-5p	4.76881
hsa-miR-1471	4.64955
hsa-miR-3188	4.6412
hsa-miR-1234-3p	4.63598
hsa-miR-1224-5p	4.63594
hsa-miR-6069	4.59995
hsa-miR-6856-5p	4.53804
hsa-miR-130a-3p	4.41119
hsa-miR-5196-5p	4.38149
hsa-miR-7154-5p	4.37401
hsa-miR-3907	4.3262
hsa-miR-652-5p	4.29595
hsa-miR-4649-3p	4.25354
hsa-miR-4433b-3p	4.24978
hsa-miR-92a-3p	4.17015
hsa-miR-6860	4.14119
hsa-miR-6515-3p	4.13384
hsa-miR-6737-3p	4.07874
hsa-miR-6819-5p	4.0652
hsa-miR-6799-5p	4.03295
hsa-miR-4651	4.02489
hsa-miR-6819-3p	3.92123
hsa-miR-3945	3.88556
hsa-miR-4785	3.87688
hsa-miR-127-3p	3.83037
hsa-miR-1290	3.82783
hsa-miR-5001-5p	3.80765
hsa-miR-7111-3p	3.7721
hsa-miR-4787-3p	3.75112
hsa-miR-6794-3p	3.63025
hsa-miR-539-5p	3.602339
hsa-miR-2276-3p	3.56806
hsa-miR-34a-5p	3.56242
hsa-miR-6787-5p	3.42085
hsa-miR-4429	3.30174
hsa-miR-3158-5p	3.28083
hsa-miR-1304-3p	3.26671
hsa-miR-4515	3.25488
hsa-miR-4419a	3.1276
hsa-miR-6796-5p	3.01751
hsa-miR-766-5p	2.9105
hsa-miR-107	2.90812
hsa-miR-371b-5p	2.89515
hsa-miR-6777-3p	2.87335
hsa-miR-6757-5p	2.79145
hsa-miR-1238-3p	2.780812
hsa-miR-20a-5p	2.77576
hsa-miR-572	2.77289
hsa-miR-6840-3p	2.768231
hsa-miR-324-3p	2.7564
hsa-miR-6508-5p	2.75312
hsa-miR-8071	2.72211
hsa-miR-198	2.71818
hsa-miR-6784-5p	2.67343
hsa-miR-328-3p	2.6664
hsa-miR-4456	2.64971
hsa-miR-365a-3p	2.60209
hsa-miR-514b-5p	2.59439
hsa-miR-4721	2.59143
hsa-miR-191-3p	2.561224
hsa-miR-6759-3p	2.53735
hsa-miR-6779-5p	2.51198
hsa-miR-4646-5p	2.48786
hsa-miR-4483	2.464523
hsa-miR-6813-3p	2.41851
hsa-miR-425-3p	2.4076
hsa-miR-6732-5p	2.403277
hsa-miR-1236-5p	2.40327
hsa-miR-548q	2.39484
hsa-miR-3652	2.392641
hsa-miR-4436b-5p	2.38832
hsa-let-7f-1-3p	2.353754
hsa-miR-4290	2.34398
hsa-miR-4476	2.3417
hsa-miR-4725-5p	2.33332
hsa-miR-6763-3p	2.31192
hsa-miR-3689b-3p	2.300846
hsa-miR-33b-3p	2.300648
hsa-miR-6865-3p	2.29307
hsa-miR-6884-3p	2.27042
hsa-miR-6858-3p	2.265035
hsa-miR-15b-5p	2.25616
hsa-miR-6861-5p	2.25541
hsa-miR-4673	2.25178
hsa-miR-6760-3p	2.247025
hsa-miR-1237-3p	2.246589
hsa-miR-7114-5p	2.229814
hsa-let-7i-5p	2.22409
hsa-miR-1908-3p	2.22058
hsa-miR-4698	2.21236
hsa-miR-4322	2.211592
hsa-miR-5196-3p	2.197
hsa-miR-4433a-5p	2.19652
hsa-miR-3620-3p	2.195282
hsa-miR-149-5p	2.1701
hsa-miR-4644	2.16985
hsa-miR-6861-3p	2.15951
hsa-let-7b-3p	2.154894
hsa-miR-197-3p	2.14155
hsa-miR-6875-5p	2.13671
hsa-miR-6847-5p	2.11672
hsa-miR-23a-3p	2.11456
hsa-miR-4747-5p	2.10003
hsa-miR-4711-3p	2.095
hsa-miR-6765-3p	2.08169
hsa-miR-6824-3p	2.080959
hsa-miR-1539	2.05957
hsa-miR-6886-3p	2.047135
hsa-miR-6824-5p	2.028638
hsa-miR-4646-3p	2.01874
hsa-miR-4462	2.00383
hsa-miR-25-3p	1.99647
hsa-miR-4526	1.991828
hsa-miR-98-3p	1.975404
hsa-miR-4430	1.970824
hsa-miR-6732-3p	1.96835
hsa-miR-659-3p	1.964666
hsa-miR-6795-3p	1.954688
hsa-miR-5007-5p	1.95339
hsa-miR-6780b-5p	1.928093
hsa-miR-6891-3p	1.91943
hsa-miR-382-5p	1.919358
hsa-miR-4701-5p	1.900935
hsa-miR-296-5p	1.89841
hsa-miR-601	1.894834
hsa-miR-6752-3p	1.871479
hsa-miR-6779-3p	1.870459
hsa-miR-3667-5p	1.86341
hsa-miR-6834-3p	1.85616
hsa-miR-5090	1.854736
hsa-miR-4731-3p	1.852883
hsa-miR-1182	1.84958
hsa-miR-4284	1.844346
hsa-miR-3679-3p	1.844057
hsa-miR-4717-3p	1.839334
hsa-miR-6807-5p	1.839213
hsa-miR-15a-5p	1.83274
hsa-miR-6870-3p	1.83209
hsa-miR-6765-5p	1.82273
hsa-miR-4310	1.820995
hsa-miR-3689a-3p	1.814678
hsa-miR-8089	1.810004
hsa-miR-3675-3p	1.806507
hsa-miR-4472	1.80501
hsa-miR-498	1.798308
hsa-miR-4666b	1.79641
hsa-miR-6766-3p	1.79611
hsa-miR-6507-3p	1.79093
hsa-miR-6889-5p	1.779805
hsa-miR-625-3p	1.769098
hsa-miR-3131	1.763946
hsa-miR-3202	1.74651
hsa-miR-3074-3p	1.743621
hsa-miR-4486	1.74349
hsa-miR-3614-5p	1.736396
hsa-miR-4734	1.729519
hsa-miR-4750-5p	1.729246
hsa-miR-5093	1.7199
hsa-miR-4716-5p	1.71424
hsa-miR-550a-5p	1.69386
hsa-miR-6848-3p	1.68408
hsa-miR-4274	1.68261
hsa-miR-6889-3p	1.66231
hsa-miR-634	1.66074
hsa-miR-3613-3p	1.659636
hsa-miR-4497	1.65464
hsa-miR-4484	1.65333
hsa-miR-6798-3p	1.64447
hsa-miR-4535	1.64033
hsa-miR-6851-3p	1.635678
hsa-miR-4312	1.635518
hsa-miR-3180-5p	1.635194
hsa-miR-23c	1.633722
hsa-miR-4749-3p	1.6321
hsa-miR-1226-5p	1.62191
hsa-miR-7113-5p	1.61985
hsa-miR-423-5p	1.613191
hsa-miR-337-3p	1.613063
hsa-miR-6132	1.609201
hsa-miR-2116-3p	1.606065
hsa-miR-4758-5p	1.60492
hsa-miR-1261	1.58958
hsa-miR-4690-5p	1.58912
hsa-miR-484	1.585425
hsa-miR-1181	1.57821
hsa-miR-1227-5p	1.57346
hsa-miR-623	1.572623
hsa-miR-7846-3p	1.569638
hsa-miR-6800-3p	1.56933
hsa-miR-6880-3p	1.56795
hsa-miR-24-3p	1.556803
hsa-miR-4664-3p	1.553785
hsa-miR-4314	1.549181
hsa-miR-6812-3p	1.543081
hsa-miR-7152-3p	1.538542
hsa-miR-3650	1.5154014
hsa-miR-602	1.511668
hsa-miR-106b-5p	1.5076375
hsa-miR-29b-1-5p	1.505583
hsa-let-7d-3p	1.502306
hsa-miR-122-5p	1.493754
hsa-miR-335-3p	1.48497
hsa-miR-135a-5p	1.453304
hsa-miR-4758-3p	1.451406
hsa-miR-5092	1.437608
hsa-miR-933	1.4367128
hsa-miR-619-5p	1.43213
hsa-miR-345-3p	1.426977
hsa-miR-144-3p	1.424709
hsa-miR-645	1.423187
hsa-miR-211-5p	1.412742
hsa-let-7a-5p	1.412326
hsa-miR-519e-3p	1.405971
hsa-miR-129-2-3p	1.403757
hsa-miR-4710	1.392754
hsa-miR-30c-1-3p	1.39102
hsa-miR-5571-5p	1.38714
hsa-miR-4695-3p	1.375326
hsa-miR-6785-3p	1.374116
hsa-miR-563	1.369133
hsa-miR-6756-3p	1.366353
hsa-miR-142-3p	1.364546
hsa-miR-520e	1.363583
hsa-miR-4728-3p	1.357284
hsa-miR-6823-3p	1.352145
hsa-miR-576-5p	1.335265
hsa-miR-6746-5p	1.333743
hsa-miR-520d-3p	1.329754
hsa-miR-6790-5p	1.32786
hsa-miR-19a-3p	1.323105
hsa-miR-485-3p	1.312347
hsa-miR-196b-5p	1.303094
hsa-miR-7109-5p	1.297331
hsa-miR-885-5p	1.292294
hsa-miR-4538	1.283907
hsa-miR-769-3p	1.28001
hsa-miR-181d-5p	1.279837
hsa-miR-6731-3p	1.271635
hsa-miR-1299	1.269073
hsa-miR-27a-3p	1.25896
hsa-miR-376b-5p	1.258277
hsa-miR-3916	1.256208
hsa-miR-4447	1.255798
hsa-miR-8060	1.24614
hsa-miR-6878-3p	1.232771
hsa-miR-6778-5p	1.229135
hsa-miR-520a-3p	1.228615
hsa-miR-6734-5p	1.227583
hsa-miR-615-3p	1.2256488
hsa-miR-515-3p	1.220838
hsa-miR-1252-3p	1.219281
hsa-miR-6743-3p	1.218253
hsa-miR-4762-3p	1.217081
hsa-miR-610	1.214859
hsa-miR-548ai	1.213426
hsa-miR-6751-3p	1.210142
hsa-miR-505-3p	1.208642
hsa-miR-16-2-3p	1.208337
hsa-miR-6716-3p	1.201169
hsa-miR-6820-5p	1.19642
hsa-miR-6894-3p	1.195105
hsa-miR-302c-3p	1.194102
hsa-let-7g-5p	1.191787
hsa-miR-150-5p	1.18917
hsa-miR-129-1-3p	1.188032
hsa-miR-195-3p	1.18756
hsa-miR-3609	1.179568
hsa-miR-5583-5p	1.17722
hsa-miR-6738-5p	1.174735
hsa-miR-6730-3p	1.170364
hsa-miR-449b-5p	1.170199
hsa-miR-3190-5p	1.156656
hsa-miR-520g-3p	1.155969
hsa-miR-7974	1.150494
hsa-miR-376a-2-5p	1.146376
hsa-miR-6757-3p	1.140681
hsa-miR-6741-5p	1.140038
hsa-miR-4707-3p	1.13621358
hsa-miR-4502	1.134124
hsa-miR-196a-5p	1.133559
hsa-miR-548am-5p	1.132334
hsa-miR-130b-3p	1.1291475
hsa-miR-3151-3p	1.128428
hsa-miR-4753-3p	1.127109
hsa-miR-4496	1.110687
hsa-miR-664a-3p	1.108316
hsa-miR-6809-5p	1.09982
hsa-miR-6754-5p	1.0847903
hsa-let-7f-5p	1.084348
hsa-miR-6792-3p	1.08284
hsa-miR-548d-5p	1.080199
hsa-miR-3121-5p	1.078274
hsa-miR-135b-5p	1.078222
hsa-miR-30c-2-3p	1.06888
hsa-miR-3940-3p	1.066172
hsa-miR-29c-5p	1.050353
hsa-miR-125a-3p	1.048716
hsa-miR-2053	1.046799
hsa-miR-6780b-3p	1.04272
hsa-miR-7114-3p	1.038152
hsa-miR-660-3p	1.035321
hsa-miR-6885-3p	1.020858
hsa-miR-548az-5p	1.015932
hsa-miR-6083	1.009184
hsa-miR-204-5p	1.004797
hsa-miR-1470	0.993091
hsa-miR-338-3p	0.988298
hsa-miR-4713-3p	0.98791
hsa-miR-3923	0.987547
hsa-miR-369-3p	0.985774
hsa-miR-3613-5p	0.985572
hsa-miR-5584-3p	0.985495
hsa-miR-520f-3p	0.984663
hsa-miR-4441	0.979449
hsa-miR-4417	0.978735
hsa-miR-6780a-3p	0.976305
hsa-miR-6866-3p	0.974144
hsa-miR-29a-3p	0.9740054
hsa-miR-6855-3p	0.97278
hsa-miR-3184-3p	0.971112
hsa-miR-2113	0.968769
hsa-miR-5010-3p	0.966159
hsa-miR-887-3p	0.9655522
hsa-miR-613	0.957568
hsa-miR-3150b-5p	0.957472
hsa-miR-3173-5p	0.95437
hsa-miR-4746-3p	0.951346
hsa-miR-5681b	0.947275
hsa-miR-4652-3p	0.941795
hsa-miR-6846-3p	0.940989
hsa-miR-199a-3p	0.939699
hsa-miR-221-3p	0.938981
hsa-miR-7107-3p	0.938415
hsa-miR-548m	0.933309
hsa-miR-4763-5p	0.932675
hsa-miR-376c-5p	0.928556
hsa-miR-186-5p	0.924502
hsa-miR-4655-5p	0.92327
hsa-miR-26b-3p	0.922689
hsa-miR-767-3p	0.9211427
hsa-miR-376a-5p	0.918799
hsa-miR-4460	0.918249
hsa-miR-3646	0.916888
hsa-miR-4697-3p	0.912345
hsa-miR-301a-5p	0.905593
hsa-miR-6847-3p	0.901344
hsa-miR-432-5p	0.899743
hsa-miR-26a-2-3p	0.8992949
hsa-miR-766-3p	0.892402
hsa-miR-4307	0.889768
hsa-miR-454-5p	0.880922376
hsa-miR-6777-5p	0.879967
hsa-miR-424-5p	0.876885
hsa-miR-30d-5p	0.875998
hsa-miR-5003-3p	0.875696
hsa-miR-7156-5p	0.873813
hsa-miR-3617-3p	0.868552
hsa-miR-4695-5p	0.867395
hsa-miR-10a-5p	0.867381
hsa-miR-6784-3p	0.867116
hsa-miR-129-5p	0.863051
hsa-miR-6793-5p	0.861629
hsa-miR-302a-3p	0.861413
hsa-miR-4723-3p	0.856135
hsa-miR-520b	0.855896
hsa-miR-378a-3p	0.852913
hsa-miR-29c-3p	0.852503
hsa-miR-877-5p	0.8517495
hsa-miR-371a-3p	0.850074
hsa-miR-186-3p	0.84952
hsa-miR-199b-5p	0.846473
hsa-miR-3924	0.846443
hsa-miR-4688	0.844147
hsa-miR-30b-3p	0.84414
hsa-miR-556-3p	0.8433297
hsa-miR-181b-5p	0.842522
hsa-miR-3115	0.8419494
hsa-miR-5187-3p	0.841924
hsa-miR-548bb-3p	0.841112
hsa-miR-6873-3p	0.840064
hsa-miR-340-3p	0.832432
hsa-miR-6775-3p	0.832369
hsa-miR-208a-5p	0.829743
hsa-miR-7-5p	0.828436
hsa-miR-29b-2-5p	0.8281521
hsa-miR-1227-3p	0.824786
hsa-miR-8087	0.821604
hsa-miR-6786-3p	0.818693
hsa-miR-548n	0.817831
hsa-miR-136-5p	0.816914
hsa-miR-4750-3p	0.815108
hsa-miR-5088-5p	0.810697
hsa-miR-18b-3p	0.8082933
hsa-miR-548y	0.80572
hsa-miR-6730-5p	0.803457
hsa-miR-4756-3p	0.802264
hsa-miR-6735-3p	0.801463
hsa-miR-8064	0.799927
hsa-miR-548b-5p	0.79824
hsa-miR-4796-5p	0.797746
hsa-miR-3147	0.796006
hsa-miR-4493	0.79495
hsa-miR-875-5p	0.79362981
hsa-miR-6877-3p	0.789052
hsa-miR-6890-3p	0.787855
hsa-miR-4694-5p	0.785687
hsa-miR-297	0.785313
hsa-miR-6774-5p	0.78468
hsa-miR-764	0.780993
hsa-miR-6776-3p	0.779087
hsa-miR-5583-3p	0.777761
hsa-miR-548ad-5p	0.773062
hsa-miR-6074	0.772965
hsa-miR-6864-3p	0.771434
hsa-miR-6511a-3p	0.770601
hsa-miR-548g-3p	0.769277
hsa-miR-3606-5p	0.767382
hsa-miR-1224-3p	0.7657639
hsa-miR-133a-3p	0.765642
hsa-miR-15b-3p	0.765436
hsa-miR-892a	0.765071
hsa-miR-6845-5p	0.758892
hsa-miR-3198	0.75446
hsa-miR-1277-3p	0.75411
hsa-miR-6881-5p	0.751233
hsa-miR-103a-3p	0.749649
hsa-miR-1-5p	0.748704
hsa-miR-133b	0.746091
hsa-miR-548a-5p	0.744815
hsa-miR-1260a	0.7400472
hsa-miR-3692-5p	0.73833
hsa-miR-132-5p	0.730338
hsa-miR-513c-5p	0.728884
hsa-miR-548c-3p	0.7259265
hsa-miR-145-3p	0.7234832
hsa-miR-4323	0.722733
hsa-miR-369-5p	0.72209
hsa-miR-6769a-5p	0.715499
hsa-miR-4692	0.710701
hsa-miR-6844	0.710004
hsa-miR-494-5p	0.70973
hsa-miR-6772-5p	0.70875
hsa-miR-380-3p	0.708084
hsa-miR-1294	0.701998
hsa-miR-338-5p	0.7004901
hsa-miR-299-5p	0.696429
hsa-miR-374b-3p	0.6963776
hsa-miR-6509-3p	0.694134
hsa-miR-4782-3p	0.692434
hsa-miR-6892-3p	0.690393
hsa-miR-876-5p	0.6884954
hsa-miR-29a-5p	0.6874525
hsa-miR-449c-3p	0.6874131
hsa-miR-6796-3p	0.685724
hsa-miR-154-5p	0.681169
hsa-miR-6839-3p	0.678078
hsa-miR-548aq-5p	0.675541
hsa-miR-20b-5p	0.671422
hsa-miR-525-5p	0.670309
hsa-miR-6769b-3p	0.669911
hsa-miR-31-5p	0.667384
hsa-miR-4793-5p	0.666622
hsa-miR-4714-5p	0.664555
hsa-miR-450b-3p	0.662408
hsa-miR-2277-3p	0.658422
hsa-miR-202-5p	0.658412
hsa-miR-5701	0.658246
hsa-miR-3714	0.65382
hsa-miR-3920	0.651361
hsa-miR-208b-5p	0.650907
hsa-miR-6832-3p	0.650286
hsa-miR-219a-2-3p	0.650104
hsa-miR-519b-3p	0.649928
hsa-miR-92a-2-5p	0.649066
hsa-miR-6887-3p	0.648137
hsa-miR-4528	0.647698
hsa-miR-96-5p	0.6467308
hsa-miR-98-5p	0.64322
hsa-miR-6502-3p	0.641228
hsa-miR-605-5p	0.639318
hsa-miR-1267	0.637071
hsa-miR-656-3p	0.6336799
hsa-miR-34b-5p	0.632336
hsa-miR-449b-3p	0.63221
hsa-miR-190a-3p	0.630539
hsa-miR-6788-3p	0.628131
hsa-miR-519d-3p	0.627944
hsa-miR-3922-3p	0.627692
hsa-miR-6857-3p	0.627602
hsa-miR-26a-1-3p	0.6263917
hsa-miR-520c-3p	0.623827
hsa-miR-3927-5p	0.6218905
hsa-miR-184	0.619847
hsa-miR-1282	0.619383
hsa-miR-10b-5p	0.617118
hsa-miR-26b-5p	0.612121
hsa-miR-6501-5p	0.6080766
hsa-miR-126-5p	0.60506
hsa-let-7a-3p	0.6034247
hsa-miR-450a-5p	0.603231
hsa-miR-4716-3p	0.60304
hsa-miR-545-3p	0.6024391
hsa-miR-6764-3p	0.598388
hsa-miR-6887-5p	0.597859
hsa-miR-521	0.5960267
hsa-miR-4640-3p	0.592424
hsa-miR-4700-3p	0.590677
hsa-miR-4720-5p	0.5894795
hsa-miR-4295	0.588693
hsa-miR-1976	0.586963
hsa-miR-6741-3p	0.582052
hsa-miR-664b-3p	0.578732
hsa-miR-381-5p	0.577145
hsa-miR-3606-3p	0.576744
hsa-miR-6825-3p	0.5764377
hsa-miR-93-5p	0.572931
hsa-miR-144-5p	0.572907
hsa-miR-4642	0.571352
hsa-miR-450b-5p	0.570763
hsa-miR-548ay-5p	0.568482
hsa-miR-544a	0.5684016
hsa-miR-3134	0.56807
hsa-miR-4707-5p	0.56668
hsa-miR-518d-3p	0.566213
hsa-miR-1537-5p	0.566043
hsa-miR-548ae-3p	0.5652804
hsa-miR-6884-5p	0.564391
hsa-miR-3653-5p	0.564025
hsa-miR-1284	0.5618206
hsa-miR-6826-3p	0.5601253
hsa-miR-5690	0.559969
hsa-miR-181a-3p	0.557724
hsa-miR-3614-3p	0.557556
hsa-miR-551b-3p	0.5574366
hsa-miR-30c-5p	0.556677
hsa-miR-4286	0.554748
hsa-miR-199a-5p	0.5537712
hsa-miR-6851-5p	0.553015
hsa-miR-30b-5p	0.5512881
hsa-let-7e-3p	0.547064
hsa-miR-548ab	0.546944
hsa-miR-609	0.5452049
hsa-miR-891b	0.544738
hsa-miR-1256	0.544229
hsa-miR-106a-3p	0.5425804
hsa-miR-7843-3p	0.542075
hsa-miR-149-3p	0.54146562
hsa-miR-371a-5p	0.540491
hsa-miR-520h	0.539775
hsa-miR-1229-3p	0.5392826
hsa-miR-4668-3p	0.5381112
hsa-miR-6739-3p	0.53572
hsa-miR-125a-5p	0.534192
hsa-miR-4259	0.532381
hsa-miR-6876-3p	0.528774
hsa-miR-1323	0.527389
hsa-miR-4645-3p	0.526496
hsa-miR-5087	0.525549
hsa-miR-3682-3p	0.525207
hsa-miR-518a-3p	0.524638
hsa-miR-3915	0.524197
hsa-miR-185-3p	0.5238995
hsa-miR-302b-3p	0.5228897
hsa-miR-6841-3p	0.519386
hsa-miR-1303	0.5177859
hsa-miR-522-3p	0.5177051
hsa-miR-211-3p	0.515761
hsa-miR-3605-3p	0.514797
hsa-miR-622	0.5100708
hsa-miR-548x-3p	0.509525
hsa-miR-4656	0.506861
hsa-miR-361-3p	0.505365
hsa-miR-1250-3p	0.503535
hsa-miR-6073	0.500072
hsa-miR-190b	0.5000529
hsa-miR-488-3p	0.497861
hsa-miR-544b	0.496693
hsa-miR-526b-5p	0.4953688
hsa-miR-3180-3p	0.492244
hsa-miR-4639-3p	0.4904653
hsa-miR-92b-3p	0.4902044
hsa-miR-383-5p	0.4900737
hsa-miR-6511b-3p	0.4862987
hsa-miR-1909-5p	0.485545
hsa-miR-4699-3p	0.483349
hsa-miR-6867-3p	0.476254
hsa-miR-548b-3p	0.4748806
hsa-miR-374c-3p	0.473452
hsa-miR-373-3p	0.472749
hsa-miR-582-5p	0.470386
hsa-miR-4760-3p	0.46880644
hsa-miR-7108-3p	0.4684599
hsa-miR-4803	0.4662842
hsa-miR-3144-3p	0.466079
hsa-miR-5698	0.4658034
hsa-miR-3617-5p	0.4644105
hsa-miR-190a-5p	0.4634138
hsa-miR-4678	0.461009
hsa-miR-642b-5p	0.456551
hsa-miR-5704	0.454462
hsa-miR-4509	0.4533365
hsa-miR-548ba	0.45326
hsa-miR-1179	0.452355
hsa-miR-4324	0.4493959
hsa-miR-654-3p	0.448996
hsa-miR-4799-3p	0.4469439
hsa-miR-4666a-3p	0.446887
hsa-miR-362-3p	0.446842
