miRNA	value
hsa-miR-1228-3p	3.93449
hsa-miR-6797-3p	4.16705
hsa-miR-6768-5p	-0.1745623
hsa-miR-6883-5p	1.71313
hsa-miR-187-5p	1.056556
hsa-miR-1306-3p	1.8173
hsa-miR-6751-5p	1.295562
hsa-miR-575	0.2568097
hsa-miR-1273f	2.33079
hsa-miR-6086	0.547271
hsa-miR-206	2.021215
hsa-miR-4632-5p	1.185655
hsa-miR-3937	2.043476
hsa-miR-1343-5p	1.298134
hsa-miR-483-3p	1.4971
hsa-miR-3162-3p	4.06206
hsa-miR-6858-5p	0.129905
hsa-miR-939-5p	3.46587
hsa-miR-4313	4.16098
hsa-miR-3194-5p	1.079807
hsa-miR-1471	0.2370891
hsa-miR-3188	2.023779
hsa-miR-1234-3p	4.48861
hsa-miR-1224-5p	0.912055
hsa-miR-6069	3.69514
hsa-miR-6856-5p	2.131979
hsa-miR-130a-3p	5.08865
hsa-miR-5196-5p	2.99811
hsa-miR-7154-5p	0.659535
hsa-miR-3907	0.684159
hsa-miR-652-5p	0.162201
hsa-miR-4649-3p	3.88684
hsa-miR-4433b-3p	2.1777
hsa-miR-92a-3p	10.17117
hsa-miR-6860	1.349783
hsa-miR-6515-3p	3.14974
hsa-miR-6737-3p	3.78497
hsa-miR-6819-5p	-0.139804
hsa-miR-6799-5p	0.837915
hsa-miR-4651	-0.3795823
hsa-miR-6819-3p	3.76907
hsa-miR-3945	1.283354
hsa-miR-4785	-0.090721
hsa-miR-127-3p	0.828885
hsa-miR-1290	4.58453
hsa-miR-5001-5p	13.89371
hsa-miR-7111-3p	2.13934
hsa-miR-4787-3p	3.19199
hsa-miR-6794-3p	1.788584
hsa-miR-539-5p	1.437129
hsa-miR-2276-3p	0.402652
hsa-miR-34a-5p	1.435974
hsa-miR-6787-5p	0.530851
hsa-miR-4429	-0.385681
hsa-miR-3158-5p	-0.496443
hsa-miR-1304-3p	1.47179
hsa-miR-4515	3.81324
hsa-miR-4419a	0.165472
hsa-miR-6796-5p	0.845735
hsa-miR-766-5p	1.333857
hsa-miR-107	5.2555
hsa-miR-371b-5p	8.76519
hsa-miR-6777-3p	2.123918
hsa-miR-6757-5p	0.770056
hsa-miR-1238-3p	2.704423
hsa-miR-20a-5p	3.0581
hsa-miR-572	6.9314
hsa-miR-6840-3p	1.1219564
hsa-miR-324-3p	1.5923
hsa-miR-6508-5p	1.67218
hsa-miR-8071	2.10977
hsa-miR-198	2.09689
hsa-miR-6784-5p	1.199157
hsa-miR-328-3p	1.340201
hsa-miR-4456	0.865268
hsa-miR-365a-3p	1.52656
hsa-miR-514b-5p	1.6431
hsa-miR-4721	1.363938
hsa-miR-191-3p	3.48143
hsa-miR-6759-3p	3.01627
hsa-miR-6779-5p	1.367897
hsa-miR-4646-5p	0.1295349
hsa-miR-4483	0.3566146
hsa-miR-6813-3p	2.17679
hsa-miR-425-3p	1.42624
hsa-miR-6732-5p	0.09282
hsa-miR-1236-5p	0.2062858
hsa-miR-548q	0.2152251
hsa-miR-3652	1.167502
hsa-miR-4436b-5p	2.76759
hsa-let-7f-1-3p	1.27357
hsa-miR-4290	1.534006
hsa-miR-4476	0.3516902
hsa-miR-4725-5p	1.58538
hsa-miR-6763-3p	2.1279
hsa-miR-3689b-3p	0.956047
hsa-miR-33b-3p	1.740498
hsa-miR-6865-3p	1.954363
hsa-miR-6884-3p	1.352485
hsa-miR-6858-3p	1.54826
hsa-miR-15b-5p	3.11645
hsa-miR-6861-5p	1.114614
hsa-miR-4673	-0.638083
hsa-miR-6760-3p	1.864656
hsa-miR-1237-3p	1.735571
hsa-miR-7114-5p	0.861444
hsa-let-7i-5p	3.98207
hsa-miR-1908-3p	3.66899
hsa-miR-4698	1.66978
hsa-miR-4322	1.373346
hsa-miR-5196-3p	1.144588
hsa-miR-4433a-5p	3.19199
hsa-miR-3620-3p	0.722899
hsa-miR-149-5p	2.02759
hsa-miR-4644	4.87131
hsa-miR-6861-3p	1.543248
hsa-let-7b-3p	0.792262
hsa-miR-197-3p	2.209202
hsa-miR-6875-5p	3.16788
hsa-miR-6847-5p	0.425306
hsa-miR-23a-3p	10.31677
hsa-miR-4747-5p	0.1801562
hsa-miR-4711-3p	0.636626
hsa-miR-6765-3p	1.936224
hsa-miR-6824-3p	2.02327
hsa-miR-1539	1.85581
hsa-miR-6886-3p	0.831703
hsa-miR-6824-5p	0.183222
hsa-miR-4646-3p	1.480979
hsa-miR-4462	0.5190244
hsa-miR-25-3p	3.38898
hsa-miR-4526	-0.1968126
hsa-miR-98-3p	1.947242
hsa-miR-4430	1.0337998
hsa-miR-6732-3p	1.520991
hsa-miR-659-3p	0.409258
hsa-miR-6795-3p	1.867749
hsa-miR-5007-5p	0.777754
hsa-miR-6780b-5p	0.901397
hsa-miR-6891-3p	1.683092
hsa-miR-382-5p	0.4134619
hsa-miR-4701-5p	1.857113
hsa-miR-296-5p	1.606565
hsa-miR-601	0.842759
hsa-miR-6752-3p	1.94929
hsa-miR-6779-3p	0.8924609
hsa-miR-3667-5p	0.260787
hsa-miR-6834-3p	1.572712
hsa-miR-5090	1.163995
hsa-miR-4731-3p	1.943354
hsa-miR-1182	0.3816633
hsa-miR-4284	2.208723
hsa-miR-3679-3p	1.569587
hsa-miR-4717-3p	0.491576
hsa-miR-6807-5p	0.883513
hsa-miR-15a-5p	3.41388
hsa-miR-6870-3p	1.4479463
hsa-miR-6765-5p	2.069271
hsa-miR-4310	2.008625
hsa-miR-3689a-3p	0.741197
hsa-miR-8089	0.3818155
