miRNA	value
hsa-miR-6768-5p	12.7816
hsa-miR-6883-5p	1.073951
hsa-miR-187-5p	15.18965
hsa-miR-1306-3p	0.5351065
hsa-miR-6751-5p	4.4104
hsa-miR-575	30.9096
hsa-miR-1273f	16.07531
hsa-miR-6086	15.9009
hsa-miR-206	0.168929
hsa-miR-4632-5p	16.62647
hsa-miR-3937	18.89288
hsa-miR-1343-5p	17.13836
hsa-miR-483-3p	4.176748
hsa-miR-3162-3p	4.93963
hsa-miR-6858-5p	14.79806
hsa-miR-939-5p	24.29516
hsa-miR-4313	6.50376
hsa-miR-3194-5p	15.376
hsa-miR-1471	30.1388
hsa-miR-3188	20.4361
hsa-miR-1234-3p	6.9805
hsa-miR-1224-5p	12.77681
hsa-miR-6069	4.40225
hsa-miR-6856-5p	1.756954
hsa-miR-130a-3p	49.5885
hsa-miR-5196-5p	13.4723
hsa-miR-7154-5p	4.60152
hsa-miR-3907	4.41546
hsa-miR-652-5p	10.1567
hsa-miR-4649-3p	5.19058
hsa-miR-4433b-3p	21.8817
hsa-miR-92a-3p	341.3967
hsa-miR-6860	1.726488
hsa-miR-6515-3p	4.82292
hsa-miR-6737-3p	5.79115
hsa-miR-6819-5p	10.49705
hsa-miR-6799-5p	7.15121
hsa-miR-4651	17.71608
hsa-miR-6819-3p	5.01702
hsa-miR-3945	17.03516
hsa-miR-4785	4.439361
hsa-miR-127-3p	5.19122
hsa-miR-1290	14.9877
hsa-miR-5001-5p	53.9638
hsa-miR-7111-3p	0.840899
hsa-miR-4787-3p	5.22156
hsa-miR-6794-3p	0.409035
hsa-miR-539-5p	1.0899049
hsa-miR-2276-3p	16.79338
hsa-miR-34a-5p	6.53815
hsa-miR-6787-5p	5.84123
hsa-miR-4429	6.97446
hsa-miR-3158-5p	7.2171
hsa-miR-1304-3p	3.67367
hsa-miR-4515	5.09345
hsa-miR-4419a	8.85715
hsa-miR-6796-5p	4.71201
hsa-miR-766-5p	0.610224
hsa-miR-107	152.0402
hsa-miR-371b-5p	27.1996
hsa-miR-6777-3p	3.44161
hsa-miR-6757-5p	9.19555
hsa-miR-1238-3p	2.61208
hsa-miR-20a-5p	288.8476
hsa-miR-572	36.7018
hsa-miR-6840-3p	8.81446
hsa-miR-324-3p	16.68585
hsa-miR-6508-5p	4.97238
hsa-miR-8071	9.34854
hsa-miR-198	20.50794
hsa-miR-6784-5p	9.53244
hsa-miR-328-3p	2.488506
hsa-miR-4456	3.25934
hsa-miR-365a-3p	1.601691
hsa-miR-514b-5p	11.12572
hsa-miR-4721	13.84074
hsa-miR-191-3p	5.501561
hsa-miR-6759-3p	6.24156
hsa-miR-6779-5p	6.6343
hsa-miR-4646-5p	6.14157
hsa-miR-4483	1.847511
hsa-miR-6813-3p	4.33235
hsa-miR-425-3p	2.032531
hsa-miR-6732-5p	5.05222
hsa-miR-1236-5p	4.27786
hsa-miR-548q	4.18074
hsa-miR-3652	14.60662
hsa-miR-4436b-5p	2.853076
hsa-let-7f-1-3p	1.8896968
hsa-miR-4290	0.4469685
hsa-miR-4476	10.08782
hsa-miR-4725-5p	2.728932
hsa-miR-6763-3p	3.72249
hsa-miR-3689b-3p	0.40632
hsa-miR-33b-3p	1.876354
hsa-miR-6865-3p	2.42917
hsa-miR-6884-3p	0.704756
hsa-miR-6858-3p	1.386277
hsa-miR-15b-5p	167.0086
hsa-miR-6861-5p	12.1299
hsa-miR-4673	4.99655
hsa-miR-6760-3p	1.473719
hsa-miR-1237-3p	2.44154
hsa-miR-7114-5p	2.73008
hsa-let-7i-5p	115.0856
hsa-miR-1908-3p	4.45607
hsa-miR-4698	4.35185
hsa-miR-4322	9.53165
hsa-miR-5196-3p	0.717617
hsa-miR-4433a-5p	5.0279
hsa-miR-3620-3p	5.01447
hsa-miR-149-5p	1.425231
hsa-miR-4644	8.81409
hsa-miR-6861-3p	2.209833
hsa-let-7b-3p	1.880285
hsa-miR-197-3p	5.40391
hsa-miR-6875-5p	103.4668
hsa-miR-6847-5p	6.00236
hsa-miR-23a-3p	11.462
hsa-miR-4747-5p	4.89396
hsa-miR-4711-3p	5.03459
hsa-miR-6765-3p	4.38785
hsa-miR-6824-3p	2.72523
hsa-miR-1539	2.037492
hsa-miR-6886-3p	0.6353704
hsa-miR-6824-5p	6.535
hsa-miR-4646-3p	2.4561806
hsa-miR-4462	5.64863
hsa-miR-25-3p	146.529
hsa-miR-4526	3.88915
hsa-miR-98-3p	0.690449
hsa-miR-4430	11.90966
hsa-miR-6732-3p	1.389013
hsa-miR-659-3p	9.39353
hsa-miR-6795-3p	3.37629
hsa-miR-5007-5p	3.200207
hsa-miR-6780b-5p	33.8551
hsa-miR-6891-3p	1.743846
hsa-miR-382-5p	1.1038333
hsa-miR-4701-5p	0.860638
hsa-miR-296-5p	4.1805
hsa-miR-601	4.287
hsa-miR-6752-3p	2.971712
hsa-miR-6779-3p	1.956273
hsa-miR-3667-5p	14.74224
hsa-miR-6834-3p	0.746678
hsa-miR-5090	0.6994451
hsa-miR-4731-3p	4.77924
hsa-miR-1182	6.12636
hsa-miR-4284	1.13158
hsa-miR-3679-3p	2.183416
hsa-miR-4717-3p	3.21549
hsa-miR-6807-5p	13.88182
hsa-miR-15a-5p	106.3525
hsa-miR-6870-3p	0.892807
hsa-miR-6765-5p	-0.679895679
hsa-miR-4310	1.357699
hsa-miR-3689a-3p	0.10449
hsa-miR-8089	5.61162
hsa-miR-3675-3p	3.972729
hsa-miR-4472	6.14195
hsa-miR-498	6.73858
hsa-miR-4666b	2.335594
